Id,Label,timeset,modularity_class,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
Algonfdez,Algonfdez,,1,0,5,5,0,5,5,2,0.777778,0.857143,0
evaguillenhida1,evaguillenhida1,,2,0,5,5,0,6,6,13,0.121865,0.148309,0
XavierMolero,XavierMolero,,2,0,5,5,0,5,5,9,0.200145,0.233469,0
Jaume752,Jaume752,,6,2,7,9,2,7,9,9,0.211111,0.25594,282.441667
economiacat1,economiacat1,,6,16,5,21,19,6,25,9,0.211982,0.244183,3145.747785
santcodto,santcodto,,1,0,5,5,0,5,5,9,0.190281,0.220341,0
VINTISET,VINTISET,,1,0,14,14,0,14,14,9,0.26949,0.331056,0
AmatGemma,AmatGemma,,2,3,2,5,3,2,5,2,0.625,0.7,9
gemquim,gemquim,,4,3,8,11,3,13,16,8,0.250227,0.298572,1520.794589
assumptalba,assumptalba,,7,0,5,5,0,7,7,11,0.161422,0.190829,0
neus533,neus533,,2,0,15,15,0,16,16,8,0.261074,0.318283,0
tonicesteve,tonicesteve,,6,0,9,9,0,10,10,10,0.162194,0.200445,0
MasipAbad,MasipAbad,,2,0,10,10,0,12,12,9,0.225,0.276836,0
ANC_Mossos,ANC_Mossos,,6,33,1,34,33,1,34,14,0.099067,0.108152,2429.383333
terelprieto,terelprieto,,2,0,6,6,0,6,6,9,0.21145,0.250824,0
ramoncotarelo,ramoncotarelo,,1,8,2,10,8,2,10,8,0.218182,0.243733,14156.209037
albertdmcat,albertdmcat,,2,4,2,6,4,2,6,11,0.159907,0.18471,3717.27687
Quimberenguer,Quimberenguer,,2,0,6,6,0,6,6,9,0.223929,0.264962,0
negua597,negua597,,4,0,7,7,0,9,9,9,0.233083,0.277566,0
Hanxxs,Hanxxs,,1,2,3,5,8,3,11,10,0.156907,0.174183,380.106349
locuspolitikus,locuspolitikus,,4,0,9,9,0,13,13,9,0.189831,0.233621,0
EnriqueTgn,EnriqueTgn,,1,1,4,5,1,6,7,9,0.203826,0.245611,22.639286
SansMarcuello,SansMarcuello,,6,0,6,6,0,7,7,1,1,1,0
palaurepublica,palaurepublica,,6,0,6,6,0,8,8,15,0.092149,0.11743,0
CekaKuebel,CekaKuebel,,4,15,7,22,15,8,23,9,0.222581,0.275325,9779.469275
MarioBruned,MarioBruned,,7,0,12,12,0,14,14,12,0.154696,0.203938,0
SiqelEl,SiqelEl,,2,0,6,6,0,8,8,9,0.197434,0.230746,0
Juditpi1,Juditpi1,,7,4,3,7,4,3,7,1,1,1,9
3boigxcatalunya,3boigxcatalunya,,4,0,7,7,0,10,10,9,0.252047,0.299941,0
obffelius,obffelius,,6,0,12,12,0,12,12,8,0.250669,0.305711,0
VidalMoll,VidalMoll,,2,0,5,5,0,5,5,10,0.160231,0.187145,0
BirgittaDE2,BirgittaDE2,,7,5,9,14,9,16,25,8,0.218527,0.261253,1641.791506
MonikaDiethelm,MonikaDiethelm,,7,7,8,15,7,8,15,10,0.190476,0.229155,2673.342571
EvaMaraMaldona2,EvaMaraMaldona2,,6,0,8,8,0,9,9,9,0.206871,0.25519,0
CADCI,CADCI,,7,1,7,8,1,11,12,10,0.168498,0.200019,3509.986544
JofrePilos,JofrePilos,,7,5,6,11,6,9,15,2,0.636364,0.714286,209.409794
Esquerra_ERC,Esquerra_ERC,,5,13,4,17,14,5,19,1,1,1,2289.434524
xerramecat1,xerramecat1,,4,0,7,7,0,7,7,9,0.220205,0.263653,0
Atzucac1,Atzucac1,,1,0,6,6,0,7,7,10,0.178135,0.21699,0
pferrerm,pferrerm,,6,0,8,8,0,9,9,3,0.615385,0.729167,0
Lui_Jana,Lui_Jana,,2,0,5,5,0,5,5,2,0.857143,0.916667,0
paisnotanpetit,paisnotanpetit,,6,2,3,5,2,3,5,1,1,1,5
Sol106360328,Sol106360328,,7,0,11,11,0,14,14,9,0.207958,0.256548,0
Gefero66,Gefero66,,2,0,5,5,0,6,6,10,0.178218,0.212614,0
EsperitLLiure_,EsperitLLiure_,,1,0,5,5,0,6,6,10,0.172886,0.208683,0
JaumeTorras16,JaumeTorras16,,1,3,5,8,3,6,9,1,1,1,9.028571
Praga10948481,Praga10948481,,2,0,6,6,0,7,7,9,0.187036,0.217346,0
unaltredelleida,unaltredelleida,,2,0,12,12,0,13,13,8,0.246018,0.304621,0
joanmtusell,joanmtusell,,2,0,5,5,0,5,5,2,0.857143,0.916667,0
jaestrobaenus,jaestrobaenus,,2,0,5,5,0,5,5,10,0.172586,0.201786,0
Amelycie,Amelycie,,2,0,5,5,0,5,5,11,0.142563,0.16948,0
xevipuix,xevipuix,,2,0,11,11,0,12,12,9,0.225296,0.278226,0
psicolegsanc,psicolegsanc,,5,5,0,5,5,0,5,0,0,0,0
isern_toni,isern_toni,,2,1,4,5,1,5,6,11,0.154146,0.176152,0.5
DomeOrrit,DomeOrrit,,6,0,6,6,0,8,8,4,0.52381,0.712121,0
_NiNetaCat,_NiNetaCat,,1,2,3,5,2,3,5,9,0.226787,0.267337,9193.399867
__llKrisll__,__llKrisll__,,7,0,5,5,0,5,5,11,0.14498,0.175877,0
mbatet,mbatet,,2,0,8,8,0,8,8,9,0.201748,0.242074,0
DaniDvilaro,DaniDvilaro,,6,0,6,6,0,7,7,9,0.218627,0.255429,0
Totestaagafat,Totestaagafat,,2,0,5,5,0,5,5,13,0.118224,0.146406,0
CatalinaBarcel4,CatalinaBarcel4,,2,0,22,22,0,39,39,9,0.221691,0.298781,0
Altafaja1P,Altafaja1P,,4,23,12,35,36,18,54,8,0.244681,0.297265,5756.043431
BadiaSerra7,BadiaSerra7,,4,0,8,8,0,14,14,8,0.250679,0.300696,0
mmontero1151,mmontero1151,,6,0,6,6,0,6,6,2,0.875,0.928571,0
emocionycambio,emocionycambio,,2,0,8,8,0,8,8,10,0.202888,0.243282,0
santaloester,santaloester,,6,63,0,63,64,0,64,0,0,0,0
catals54,catals54,,2,0,6,6,0,6,6,10,0.180402,0.213285,0
uranillo1954,uranillo1954,,7,0,11,11,0,16,16,9,0.233361,0.285353,0
isaacizquierdo2,isaacizquierdo2,,6,3,2,5,3,2,5,1,1,1,4.25
Josepd51,Josepd51,,6,0,5,5,0,9,9,9,0.209459,0.242773,0
RoserTrull,RoserTrull,,6,4,1,5,7,1,8,2,0.666667,0.75,3.5
viscacat,viscacat,,2,0,5,5,0,5,5,10,0.188564,0.21932,0
AsunToldra,AsunToldra,,6,0,6,6,0,6,6,11,0.157538,0.192858,0
lexmarcasvila,lexmarcasvila,,2,0,17,17,0,25,25,8,0.246599,0.306232,0
RosannaRoyoiPla,RosannaRoyoiPla,,5,1,5,6,1,5,6,8,0.232715,0.271657,8067.428644
Saculto333,Saculto333,,2,0,5,5,0,9,9,15,0.09154,0.111505,0
jubilao,jubilao,,6,5,0,5,5,0,5,0,0,0,0
PalmaNeus,PalmaNeus,,6,0,5,5,0,5,5,11,0.159654,0.18814,0
SilviaPolo10,SilviaPolo10,,2,0,9,9,0,10,10,8,0.227984,0.271398,0
jordi_tolosa,jordi_tolosa,,1,2,7,9,2,7,9,9,0.201308,0.238824,120.97619
kaitomanker,kaitomanker,,7,4,8,12,4,9,13,11,0.160161,0.200268,662.5
dnicatala,dnicatala,,6,9,8,17,10,8,18,10,0.179404,0.22075,704.705952
FreeForevercat,FreeForevercat,,4,0,5,5,0,5,5,8,0.228548,0.266387,0
MontserratGA,MontserratGA,,6,0,6,6,0,9,9,12,0.133045,0.167571,0
Lekpo46,Lekpo46,,4,0,5,5,0,5,5,11,0.179056,0.226277,0
Anonymous_Cat0,Anonymous_Cat0,,2,1,5,6,1,5,6,10,0.164482,0.200329,191.355495
CatalanaIndepe1,CatalanaIndepe1,,6,0,5,5,0,6,6,10,0.174874,0.204654,0
euroeuropa,euroeuropa,,5,8,3,11,8,3,11,9,0.190608,0.21895,4931.960379
LliberArt,LliberArt,,7,0,11,11,0,11,11,9,0.218435,0.270725,0
republica_som,republica_som,,7,2,4,6,2,4,6,12,0.147059,0.177708,13.5
floskinborkkum1,floskinborkkum1,,4,0,5,5,0,5,5,10,0.168083,0.19455,0
Wiccaescoladeb1,Wiccaescoladeb1,,2,0,7,7,0,7,7,8,0.328586,0.368358,0
luna555666,luna555666,,6,0,5,5,0,5,5,10,0.206255,0.242495,0
AnnaPJ13,AnnaPJ13,,2,1,4,5,2,5,7,15,0.091118,0.106335,0
9davidgrau,9davidgrau,,4,0,5,5,0,8,8,9,0.212423,0.249758,0
9jrib9,9jrib9,,6,4,10,14,4,10,14,9,0.229236,0.280531,1110.504762
litaborras,litaborras,,7,5,2,7,5,2,7,9,0.179922,0.203356,2013.624045
johierfer,johierfer,,6,0,16,16,0,16,16,8,0.272991,0.339252,0
bisbi44,bisbi44,,3,0,7,7,0,7,7,8,0.261278,0.307503,0
calsojorn10,calsojorn10,,7,0,7,7,0,8,8,9,0.206408,0.246519,0
marc13fornells,marc13fornells,,1,0,5,5,0,5,5,10,0.165077,0.201471,0
garci_roser,garci_roser,,7,2,6,8,2,8,10,9,0.212799,0.250407,1479.928788
toni_m65,toni_m65,,2,0,6,6,0,6,6,9,0.216915,0.256269,0
LZilahy,LZilahy,,7,11,1,12,15,4,19,0,0,0,0
jose_gavalda,jose_gavalda,,0,0,12,12,0,14,14,10,0.195621,0.252753,0
AndresMolinaJi3,AndresMolinaJi3,,2,0,5,5,0,7,7,10,0.185923,0.220934,0
r_maureso,r_maureso,,6,0,12,12,0,13,13,10,0.169834,0.213651,0
llopineiv,llopineiv,,2,0,8,8,0,14,14,9,0.186202,0.220289,0
dr_goian,dr_goian,,2,5,0,5,5,0,5,0,0,0,0
BoschAyza,BoschAyza,,7,0,6,6,0,8,8,10,0.166968,0.195987,0
AnnaRepCat,AnnaRepCat,,2,10,10,20,11,10,21,8,0.257196,0.304972,1139.177514
dateba69mac,dateba69mac,,1,0,8,8,0,12,12,11,0.165094,0.203933,0
MRosagarciag,MRosagarciag,,4,0,11,11,0,14,14,8,0.22557,0.274029,0
lucaquaglia66,lucaquaglia66,,6,0,6,6,0,6,6,10,0.175206,0.206726,0
muxaineta,muxaineta,,2,0,6,6,0,7,7,11,0.153378,0.17993,0
MBaxerias,MBaxerias,,2,0,7,7,0,7,7,9,0.207811,0.248287,0
DolorsNun,DolorsNun,,7,0,5,5,0,9,9,1,1,1,0
Poliol,Poliol,,2,0,5,5,0,5,5,9,0.20219,0.236835,0
JoseLui30038729,JoseLui30038729,,2,0,6,6,0,6,6,10,0.171587,0.206308,0
josepbatllia,josepbatllia,,2,0,5,5,0,7,7,9,0.22249,0.253814,0
laVailet,laVailet,,6,0,5,5,0,6,6,10,0.157745,0.180179,0
Ferran269047911,Ferran269047911,,7,0,6,6,0,10,10,10,0.183931,0.216589,0
CLoresCat,CLoresCat,,4,0,7,7,0,7,7,8,0.214341,0.25841,0
narcinuCAT,narcinuCAT,,1,0,7,7,0,14,14,10,0.186406,0.224808,0
marta47mm,marta47mm,,7,0,7,7,0,19,19,10,0.196242,0.239172,0
JJPPbcn,JJPPbcn,,2,0,14,14,0,15,15,9,0.22411,0.279798,0
L_OBA_,L_OBA_,,2,0,10,10,0,11,11,10,0.168594,0.209366,0
1000boj,1000boj,,7,1,6,7,1,6,7,9,0.211612,0.248716,25.117063
LuciaC67911474,LuciaC67911474,,2,0,6,6,0,6,6,10,0.164881,0.192866,0
montarmat,montarmat,,4,0,8,8,0,9,9,9,0.213241,0.257825,0
XARLIPIU,XARLIPIU,,6,1,9,10,1,12,13,10,0.185532,0.231978,44.316667
osbru1,osbru1,,7,0,7,7,0,18,18,13,0.122512,0.154512,0
jbcncat,jbcncat,,2,0,7,7,0,7,7,11,0.164685,0.202525,0
mmillanclosa,mmillanclosa,,1,5,8,13,5,8,13,9,0.236099,0.289123,11249.237897
biblioaprenent,biblioaprenent,,2,0,7,7,0,7,7,9,0.214838,0.254201,0
rmplanes1,rmplanes1,,4,0,6,6,0,8,8,8,0.265326,0.31386,0
MnicaRebullCome,MnicaRebullCome,,4,42,14,56,64,15,79,8,0.261611,0.323581,51394.05021
parecollons,parecollons,,2,0,5,5,0,6,6,1,1,1,0
FerranMaulet,FerranMaulet,,7,0,7,7,0,8,8,13,0.125,0.160919,0
Barea_tel,Barea_tel,,2,1,8,9,1,10,11,10,0.174733,0.21948,46.430556
DniaGom,DniaGom,,2,0,7,7,0,7,7,11,0.154146,0.183126,0
Rosa32481251,Rosa32481251,,6,0,7,7,0,7,7,9,0.231026,0.279196,0
triadefvg,triadefvg,,2,0,6,6,0,9,9,10,0.158015,0.182981,0
PacoEscudero12,PacoEscudero12,,4,2,5,7,2,6,8,8,0.257703,0.293879,6400.636129
PositivaPersona,PositivaPersona,,7,0,7,7,0,9,9,11,0.167372,0.208487,0
desferr,desferr,,2,0,10,10,0,12,12,8,0.251812,0.301871,0
PepVila4,PepVila4,,2,0,6,6,0,6,6,13,0.122188,0.151418,0
Mutenrotxi,Mutenrotxi,,6,13,8,21,14,8,22,10,0.183267,0.219437,5330.385728
FastRiderY,FastRiderY,,1,0,5,5,0,7,7,9,0.213241,0.259677,0
jordixyoli,jordixyoli,,1,0,5,5,0,5,5,1,1,1,0
riverolavictor,riverolavictor,,3,3,3,6,3,3,6,9,0.210008,0.237456,416.464683
JonInarritu,JonInarritu,,1,9,0,9,9,0,9,0,0,0,0
deya_deya99,deya_deya99,,6,0,8,8,0,9,9,10,0.168389,0.203869,0
quelcolom,quelcolom,,1,0,8,8,0,9,9,9,0.218553,0.26394,0
jeronicat,jeronicat,,2,0,6,6,0,6,6,10,0.189466,0.223827,0
LauraBorras,LauraBorras,,6,3,4,7,3,4,7,2,0.7,0.785714,20.45
annabcncat,annabcncat,,7,0,5,5,0,6,6,12,0.152449,0.192357,0
MadxoraRoures,MadxoraRoures,,4,10,5,15,11,8,19,9,0.231738,0.27526,2609.135793
CErauso,CErauso,,2,1,4,5,1,6,7,2,0.833333,0.9,7
ElFairy3,ElFairy3,,1,5,0,5,5,0,5,0,0,0,0
Maites660816,Maites660816,,7,0,5,5,0,7,7,13,0.12208,0.149548,0
PereDempeus,PereDempeus,,2,0,5,5,0,5,5,3,0.555556,0.7,0
Saltencaverdneg,Saltencaverdneg,,5,0,5,5,0,5,5,2,0.857143,0.916667,0
petiua,petiua,,2,0,12,12,0,15,15,9,0.215397,0.265147,0
nanasalvador,nanasalvador,,5,5,1,6,6,1,7,0,0,0,0
sakurakyudo17,sakurakyudo17,,7,0,8,8,0,9,9,9,0.220016,0.259267,0
PereRF,PereRF,,4,11,3,14,12,4,16,1,1,1,156.992532
JoanLlorens5,JoanLlorens5,,2,0,5,5,0,7,7,2,0.777778,0.857143,0
Therminattor,Therminattor,,1,0,6,6,0,6,6,1,1,1,0
Xavi86264215,Xavi86264215,,4,0,7,7,0,7,7,9,0.232888,0.276687,0
david_nomes,david_nomes,,2,0,6,6,0,6,6,15,0.093917,0.125404,0
fuste_marina,fuste_marina,,2,0,5,5,0,5,5,10,0.179987,0.210928,0
teresasoley,teresasoley,,4,0,5,5,0,5,5,9,0.227049,0.270096,0
Gusgus6778,Gusgus6778,,6,0,6,6,0,6,6,9,0.220893,0.261747,0
sanes_marta,sanes_marta,,6,0,5,5,0,5,5,13,0.122566,0.151949,0
AntonioMarias2,AntonioMarias2,,6,0,7,7,0,8,8,11,0.166567,0.201743,0
pilarVives2,pilarVives2,,2,0,5,5,0,5,5,9,0.216745,0.253319,0
28aOriol,28aOriol,,5,4,8,12,4,9,13,10,0.161782,0.194381,2268.21015
Adelita49455612,Adelita49455612,,2,0,8,8,0,12,12,13,0.12551,0.168046,0
Pjsango,Pjsango,,1,4,4,8,4,4,8,10,0.159379,0.18248,108.162879
Ref1Oct17,Ref1Oct17,,2,0,6,6,0,6,6,11,0.166966,0.198439,0
Ana99544117,Ana99544117,,4,0,6,6,0,7,7,9,0.217767,0.26173,0
ferran2val,ferran2val,,6,0,5,5,0,6,6,10,0.160116,0.185064,0
324cat,324cat,,1,6,0,6,7,0,7,0,0,0,0
merce_canto,merce_canto,,6,0,6,6,0,6,6,12,0.132981,0.16727,0
desferrapertu,desferrapertu,,2,0,5,5,0,5,5,9,0.209848,0.254004,0
silviaalatra,silviaalatra,,6,0,8,8,0,8,8,11,0.156409,0.194504,0
ElPakiPunkiSEDR,ElPakiPunkiSEDR,,6,4,1,5,4,1,5,1,1,1,0.583333
Mireiuski_Al,Mireiuski_Al,,3,0,13,13,0,17,17,9,0.233953,0.29476,0
roserbonet,roserbonet,,7,0,6,6,0,6,6,10,0.165871,0.198802,0
portet_bruguera,portet_bruguera,,6,7,2,9,7,2,9,12,0.137674,0.165583,317.335823
teta54bis,teta54bis,,2,0,8,8,0,11,11,1,1,1,0
thinkcatalonia,thinkcatalonia,,7,0,8,8,0,10,10,13,0.123172,0.157468,0
jcecatalunya,jcecatalunya,,4,2,9,11,2,9,11,9,0.196733,0.234343,115.559524
jsferrate,jsferrate,,1,0,5,5,0,7,7,9,0.228916,0.27427,0
vadortitus,vadortitus,,6,0,17,17,0,23,23,10,0.216718,0.300738,0
lluisgibert,lluisgibert,,2,4,1,5,4,1,5,9,0.184863,0.202735,1458.454221
Nil_Cat1,Nil_Cat1,,6,0,7,7,0,8,8,10,0.189208,0.231654,0
GayMontserrat,GayMontserrat,,6,0,5,5,0,5,5,13,0.122512,0.151348,0
Cuquileti1,Cuquileti1,,7,0,5,5,0,9,9,13,0.122242,0.149713,0
tere_pey,tere_pey,,1,1,5,6,1,6,7,9,0.210008,0.24576,11.5
dolorsesteveco,dolorsesteveco,,7,0,6,6,0,10,10,9,0.200722,0.23942,0
issr5_issa,issr5_issa,,3,26,2,28,30,2,32,11,0.158166,0.178314,1213.846876
QuiqueSchenker,QuiqueSchenker,,2,0,5,5,0,8,8,9,0.186031,0.213294,0
Monicapr04,Monicapr04,,1,1,5,6,1,5,6,2,0.592593,0.65625,3.885714
YelnikoffMikael,YelnikoffMikael,,1,13,10,23,19,13,32,1,1,1,464.010029
rosadiezglez,rosadiezglez,,1,12,0,12,13,0,13,0,0,0,0
solisobra,solisobra,,7,0,6,6,0,10,10,13,0.122404,0.153303,0
madaeslava,madaeslava,,1,0,7,7,0,9,9,3,0.583333,0.714286,0
Jolavica,Jolavica,,6,0,7,7,0,7,7,13,0.12472,0.164168,0
EBruixa,EBruixa,,1,0,7,7,0,9,9,9,0.230641,0.277988,0
vincaibaladre,vincaibaladre,,4,0,9,9,0,11,11,9,0.202042,0.247543,0
Emiliguz36,Emiliguz36,,2,0,12,12,0,12,12,8,0.252277,0.301019,0
GloriaSS2014,GloriaSS2014,,6,1,6,7,1,6,7,9,0.206538,0.237998,172.530952
esperanttot,esperanttot,,6,0,7,7,0,8,8,13,0.122026,0.152747,0
annam1181or,annam1181or,,4,1,7,8,1,8,9,8,0.316357,0.356284,0
PakiEgeaAponte,PakiEgeaAponte,,7,0,6,6,0,9,9,10,0.174323,0.205971,0
catalajoanam,catalajoanam,,6,0,16,16,0,16,16,9,0.225781,0.295165,0
Olga42830864,Olga42830864,,1,4,10,14,4,15,19,8,0.248873,0.303032,7568.48684
guifre2053,guifre2053,,2,0,13,13,0,16,16,9,0.210167,0.268694,0
PileteJosefine,PileteJosefine,,6,0,9,9,0,10,10,8,0.24978,0.302213,0
petruscandin,petruscandin,,6,0,5,5,0,5,5,11,0.160622,0.189943,0
Mobilisinmobil1,Mobilisinmobil1,,7,0,5,5,0,5,5,13,0.121812,0.148259,0
HoracioNPerez,HoracioNPerez,,2,1,5,6,1,5,6,9,0.184369,0.214996,1716.451378
xavierfarrero,xavierfarrero,,1,0,6,6,0,7,7,9,0.259606,0.313277,0
madovi11957,madovi11957,,7,0,5,5,0,5,5,3,0.625,0.733333,0
KuriosCat,KuriosCat,,6,2,3,5,2,3,5,10,0.185235,0.209931,501.024675
Amarokian,Amarokian,,6,0,8,8,0,9,9,9,0.236887,0.282276,0
AntoniFerrer2,AntoniFerrer2,,7,0,5,5,0,5,5,10,0.163433,0.192933,0
raidtxu,raidtxu,,2,9,0,9,9,0,9,0,0,0,0
IldaGuCan7,IldaGuCan7,,7,0,5,5,0,5,5,9,0.208427,0.240448,0
BalladaresEnric,BalladaresEnric,,2,0,8,8,0,9,9,11,0.155269,0.188766,0
Francesc_BP,Francesc_BP,,7,0,5,5,0,13,13,13,0.123221,0.15376,0
Jllibertat1,Jllibertat1,,3,0,8,8,0,8,8,8,0.217799,0.258615,0
CuberoLuis,CuberoLuis,,2,0,5,5,0,5,5,2,0.857143,0.916667,0
Isaac__am,Isaac__am,,6,0,11,11,0,13,13,10,0.215777,0.270814,0
MerceVidalIbae1,MerceVidalIbae1,,7,0,5,5,0,7,7,10,0.188435,0.220923,0
Toni_Caballe,Toni_Caballe,,7,0,5,5,0,10,10,13,0.1229,0.152322,0
Tamborras,Tamborras,,1,0,14,14,0,18,18,8,0.245555,0.30679,0
JanosocLady,JanosocLady,,4,59,5,64,61,6,67,9,0.216641,0.258305,10413.090425
Splth32,Splth32,,2,0,7,7,0,9,9,10,0.165476,0.198869,0
Geno_SG,Geno_SG,,4,1,4,5,1,4,5,9,0.2216,0.257376,125.039683
royo1_royo,royo1_royo,,4,3,8,11,3,9,12,9,0.222669,0.267121,180.574747
teuvidal,teuvidal,,2,0,6,6,0,6,6,11,0.140467,0.16594,0
GalileaPiero,GalileaPiero,,1,0,6,6,0,12,12,9,0.196733,0.230424,0
juditvida2,juditvida2,,6,0,5,5,0,5,5,13,0.122026,0.15236,0
elboncatalanet,elboncatalanet,,2,0,5,5,0,5,5,11,0.163422,0.193382,0
Xabingo,Xabingo,,7,0,5,5,0,5,5,9,0.206871,0.237847,0
BroggiElisa,BroggiElisa,,4,0,6,6,0,9,9,9,0.191563,0.224632,0
cmoratuxans,cmoratuxans,,6,0,6,6,0,6,6,13,0.122575,0.15469,0
frubiover,frubiover,,2,0,5,5,0,8,8,11,0.149487,0.182227,0
IsabelGrau4,IsabelGrau4,,6,0,9,9,0,12,12,10,0.180691,0.22383,0
Roger_CdV,Roger_CdV,,2,8,0,8,8,0,8,0,0,0,0
allioli5,allioli5,,6,0,5,5,0,5,5,13,0.122296,0.150636,0
manelrawal,manelrawal,,2,0,5,5,0,5,5,13,0.122134,0.149613,0
cos1alatac,cos1alatac,,7,0,7,7,0,9,9,13,0.122893,0.155902,0
carles_gavila,carles_gavila,,7,0,5,5,0,6,6,13,0.122512,0.150992,0
Tossut_RiTA,Tossut_RiTA,,0,20,6,26,30,32,62,10,0.183511,0.220685,636.154401
jordisendra,jordisendra,,6,9,4,13,10,5,15,11,0.157895,0.194958,23114.339688
CDRFarro,CDRFarro,,3,11,0,11,20,0,20,0,0,0,0
corremons,corremons,,4,0,6,6,0,6,6,9,0.232773,0.275218,0
pacoturegano001,pacoturegano001,,1,0,5,5,0,8,8,10,0.172157,0.201915,0
juristestgn,juristestgn,,7,22,1,23,32,1,33,1,1,1,12.5
6q_siscu,6q_siscu,,7,0,6,6,0,10,10,8,0.24535,0.280243,0
ModestAlbert,ModestAlbert,,2,0,5,5,0,5,5,13,0.121812,0.149163,0
_architekt,_architekt,,3,0,5,5,0,5,5,10,0.19576,0.229051,0
nb1Oct,nb1Oct,,7,0,8,8,0,12,12,13,0.123111,0.158664,0
PurgatoriPop,PurgatoriPop,,2,0,5,5,0,5,5,9,0.218454,0.254467,0
DolsR,DolsR,,6,0,5,5,0,5,5,10,0.166267,0.192712,0
anacon21,anacon21,,2,0,8,8,0,8,8,11,0.155394,0.19342,0
cuarda29,cuarda29,,2,0,9,9,0,10,10,2,0.846154,0.909091,0
angelsmarco444,angelsmarco444,,6,0,16,16,0,18,18,8,0.258845,0.325874,0
TSivatte,TSivatte,,6,0,5,5,0,6,6,12,0.151201,0.182862,0
DespertaFerro11,DespertaFerro11,,6,0,12,12,0,15,15,9,0.230258,0.287104,0
Jorgellao1,Jorgellao1,,7,0,6,6,0,7,7,13,0.123002,0.154597,0
mangelsjimenez,mangelsjimenez,,7,0,9,9,0,15,15,9,0.205033,0.25815,0
indignindigente,indignindigente,,7,0,9,9,0,17,17,9,0.212261,0.254402,0
neuscasanovas,neuscasanovas,,4,0,10,10,0,14,14,7,0.279678,0.327115,0
Tesa03800368,Tesa03800368,,2,0,7,7,0,7,7,9,0.211568,0.248473,0
falduko,falduko,,7,1,5,6,1,7,8,11,0.154922,0.186725,22.566667
BrokilisOver,BrokilisOver,,2,0,6,6,0,6,6,9,0.216406,0.257866,0
JoanFra82923050,JoanFra82923050,,2,0,5,5,0,6,6,9,0.214011,0.260208,0
joanlluisg,joanlluisg,,6,0,6,6,0,6,6,11,0.170567,0.208637,0
Medard636476034,Medard636476034,,7,0,5,5,0,6,6,13,0.121758,0.148194,0
rafempm,rafempm,,1,0,6,6,0,7,7,9,0.219243,0.264675,0
sribas9,sribas9,,2,0,5,5,0,5,5,11,0.161516,0.191447,0
jordib66,jordib66,,2,0,5,5,0,6,6,1,1,1,0
ramirp,ramirp,,1,7,0,7,7,0,7,0,0,0,0
pitusihara,pitusihara,,6,0,5,5,0,5,5,11,0.157297,0.190773,0
TerraDefensor,TerraDefensor,,2,0,5,5,0,5,5,10,0.157745,0.180875,0
JoanBay,JoanBay,,7,0,10,10,0,14,14,9,0.218972,0.26877,0
MarcMateos,MarcMateos,,7,0,9,9,0,10,10,9,0.21275,0.254643,0
arisoenric,arisoenric,,6,0,5,5,0,6,6,13,0.124104,0.154601,0
XavimacuX,XavimacuX,,6,0,13,13,0,13,13,9,0.248658,0.302918,0
annamariasastre,annamariasastre,,6,0,6,6,0,6,6,10,0.180339,0.217813,0
DDomene,DDomene,,4,1,5,6,1,6,7,9,0.198851,0.233246,109.732143
heras_jordi,heras_jordi,,6,0,7,7,0,7,7,13,0.125226,0.160818,0
P1m2P3,P1m2P3,,6,3,4,7,3,4,7,13,0.123009,0.150374,269.819444
morera_ingles,morera_ingles,,2,0,6,6,0,7,7,9,0.203663,0.242839,0
lcc_luisa,lcc_luisa,,6,0,5,5,0,6,6,9,0.215611,0.261861,0
Elqetvaigdir,Elqetvaigdir,,7,0,17,17,0,25,25,9,0.195789,0.254138,0
Pipu1975,Pipu1975,,0,0,5,5,0,5,5,9,0.205948,0.247744,0
juditrmeu,juditrmeu,,7,4,4,8,4,4,8,11,0.176583,0.209498,3370.046465
mpb513,mpb513,,6,0,7,7,0,7,7,12,0.152281,0.197471,0
FGuinness64,FGuinness64,,3,0,6,6,0,9,9,10,0.202909,0.242726,0
compartiropini1,compartiropini1,,2,0,6,6,0,6,6,10,0.186281,0.218571,0
MarGut77567783,MarGut77567783,,6,0,9,9,0,10,10,9,0.251818,0.297896,0
miki_gtr,miki_gtr,,7,0,9,9,0,10,10,13,0.126196,0.165986,0
jailedcatalanet,jailedcatalanet,,6,0,6,6,0,6,6,9,0.209057,0.243241,0
martamu4,martamu4,,6,0,8,8,0,8,8,10,0.184421,0.222019,0
Tetsuo41,Tetsuo41,,7,1,15,16,1,20,21,9,0.24912,0.317336,151.867063
BernaMadrid3,BernaMadrid3,,7,0,6,6,0,6,6,11,0.153931,0.181055,0
Palaritxi1,Palaritxi1,,6,0,5,5,0,6,6,2,0.857143,0.916667,0
milfordedge,milfordedge,,3,6,1,7,6,1,7,0,0,0,0
Poxci53,Poxci53,,2,0,10,10,0,12,12,9,0.228548,0.276987,0
outsiderthor,outsiderthor,,4,1,4,5,1,5,6,10,0.177223,0.204318,222.333333
hacafu,hacafu,,2,0,5,5,0,5,5,2,0.857143,0.916667,0
LluisBanyoles,LluisBanyoles,,2,2,11,13,2,11,13,8,0.245844,0.299627,407.164683
xineta8,xineta8,,2,0,6,6,0,6,6,9,0.199568,0.238688,0
